name,BEANS—IN GENERAL (or MIXED),"CABBAGE, IN GENERAL, or MIXED CABBAGES","CHILES—IN GENERAL, or MIXED","GREENS—IN GENERAL OR MIXED (see also ARUGULA; BOK CHOY; CABBAGE; CHARD, SWISS; GREENS, BEET; GREENS, BITTER; GREENS, COLLARD; GREENS, DANDELION; GREENS, SALAD; GREENS, TURNIP; KALE; LETTUCE; and SPINACH)",LENTILS—IN GENERAL (see also specific LENTILS),MUSHROOMS—IN GENERAL,"MUSHROOMS, WILD—IN GENERAL, or MIXED (see also CHANTERELLE, HEN OF THE WOODS, MOREL, PORCINI, etc.)","OLIVES—IN GENERAL, or MIXED","ONIONS—IN GENERAL, or MIXED","PEAS (aka ENGLISH PEAS, GARDEN PEAS, or GREEN PEAS; see also BLACK-EYED PEAS and PEAS, SPLIT)","POTATOES—IN GENERAL, WITH SKIN",RICE—IN GENERAL,TOFU—IN GENERAL
"ALMONDS (and UNSWEETENED ALMOND BUTTER; see also MILK, ALMOND)",,,,,,,,,,,,,
ANISE SEEDS,,,,,,,,,,,,,
"APPLES (and APPLE CIDER, APPLE JUICE and/or APPLESAUCE)",,,,,,,,,,,,,
ARTICHOKE HEARTS (see also ARTICHOKES),,,,,,,,,,,,,
"ARTICHOKES, JERUSALEM (aka SUNCHOKES)",,,,,,,,,,,,,
ARUGULA (aka ROCKET),,,,y,,,,,,,,,
ASPARAGUS,,,,,,,,,,,,,
BASIL,,,,,,,,,,,,,
BAY LEAF,,,,,,,,,,,,,
"BEANS, BLACK (aka TURTLE BEANS)",y,,,,,,,,,,,,
"BEANS, PINTO",y,,,,,,,,,,,,
BEETS,,,,,,,,,,,,,
"BELL PEPPERS—IN GENERAL, or MIXED",,,,,,,,,,,,,
BOK CHOY (aka CHINESE CABBAGE or PAK CHOI),,,,y,,,,,,,,,
BRAGG LIQUID AMINOS,,,,,,,,,,,,,
BROCCOLI,,,,,,,,,,,,,
BROCCOLINI,,,,,,,,,,,,,
BRUSSELS SPROUTS,,,,,,,,,,,,,
BUTTER,,,,,,,,,,,,,
"CABBAGE, GREEN",,y,,,,,,,,,,,
"CABBAGE, RED",,y,,,,,,,,,,,
CARAWAY SEEDS,,,,,,,,,,,,,
CARROTS,,,,,,,,,,,,,
CASHEWS and CASHEW NUT BUTTER,,,,,,,,,,,,,
CAULIFLOWER,,,,,,,,,,,,,
CELERY,,,,,,,,,,,,,
CELERY ROOT (aka CELERIAC),,,,,,,,,,,,,
"CHARD, e.g., RAINBOW, RED/RUBY, SWISS, or MIXED",,,,y,,,,,,,,,
"CHEESE, CHEDDAR",,,,,,,,,,,,,
"CHEESE, PARMESAN",,,,,,,,,,,,,
CHESTNUTS,,,,,,,,,,,,,
CHIA SEEDS,,,,,,,,,,,,,
CHICKPEAS (aka GARBANZO BEANS),y,,,,,,,,,,,,
"CHILES, CHIPOTLE",,,y,,,,,,,,,,
"CHILES, HABANERO",,,y,,,,,,,,,,
"CHILES, JALAPEÑO",,,y,,,,,,,,,,
"CHILES, SERRANO",,,y,,,,,,,,,,
CHILI PEPPER FLAKES,,,,,,,,,,,,,
CHILI POWDER,,,,,,,,,,,,,
CHIVES,,,,,,,,,,,,,
"CHIVES, GARLIC (aka CHINESE CHIVES)",,,,,,,,,,,,,
CILANTRO (aka CHINESE PARSLEY or FRESH CORIANDER LEAF),,,,,,,,,,,,,
COCONUT BUTTER,,,,,,,,,,,,,
COCONUT WATER,,,,,,,,,,,,,
CORN,,,,,,,,,,,,,
CORNMEAL and POLENTA (see also GRITS),,,,,,,,,,,,,
CUMIN,,,,,,,,,,,,,
DILL SEEDS (see also DILL and DILL WEED),,,,,,,,,,,,,
DILL WEED (see also DILL and DILL SEEDS),,,,,,,,,,,,,
EGGPLANT (aka AUBERGINE),,,,,,,,,,,,,
"EGGS (e.g., FRESH)",,,,,,,,,,,,,
ENDIVE (aka BELGIAN ENDIVE),,,,,,,,,,,,,
FENNEL,,,,,,,,,,,,,
FENNEL FRONDS (or LEAVES),,,,,,,,,,,,,
FENNEL SEEDS,,,,,,,,,,,,,
FENUGREEK,,,,,,,,,,,,,
FIDDLEHEAD FERNS,,,,,,,,,,,,,
FLAXSEEDS,,,,,,,,,,,,,
"FLOWERS, EDIBLE",,,,,,,,,,,,,
GARLIC,,,,,,,,,,,,,
"GARLIC, GREEN (aka BABY GARLIC or SPRING GARLIC)",,,,,,,,,,,,,
GINGER—IN GENERAL,,,,,,,,,,,,,
"GINGER, POWDERED (i.e., dried, ground)",,,,,,,,,,,,,
"GREENS, BEET",,,,y,,,,,,,,,
"GREENS, COLLARD",,,,y,,,,,,,,,
"GREENS, DANDELION",,,,y,,,,,,,,,
HAZELNUTS (aka FILBERTS),,,,,,,,,,,,,
HONEY—IN GENERAL,,,,,,,,,,,,,
KALE,,,,y,,,,,,,,,
"KELP, KELP GRANULES, and KELP POWDER (see also ARAME, KOMBU, SEA VEGETABLES, and WAKAME)",,,,,,,,,,,,,
LAVENDER,,,,,,,,,,,,,
LEEKS,,,,,,,,,,,,,
LEMON VERBENA,,,,,,,,,,,,,
LEMONGRASS,,,,,,,,,,,,,
LEMONS,,,,,,,,,,,,,
"LENTILS, BROWN",,,,,y,,,,,,,,
"LENTILS, GREEN",,,,,y,,,,,,,,
"LENTILS, YELLOW",,,,,y,,,,,,,,
"LIMES (e.g., JUICE, ZEST)",,,,,,,,,,,,,
LIQUID SMOKE,,,,,,,,,,,,,
MANGOES,,,,,,,,,,,,,
"MILK, ALMOND",,,,,,,,,,,,,
"MILK, COCONUT",,,,,,,,,,,,,
"MILK, e.g., WHOLE or NONFAT—IN GENERAL",,,,,,,,,,,,,
"MILK, GOAT",,,,,,,,,,,,,
"MILK, HEMP",,,,,,,,,,,,,
"MILK, SOY",,,,,,,,,,,,,
MILLET,,,,,,,,,,,,,
"MISO, DARK",,,,,,,,,,,,,
"MUSHROOMS, BLACK TRUMPET",,,,,,y,y,,,,,,
"MUSHROOMS, BUTTON (aka WHITE MUSHROOMS)",,,,,,y,,,,,,,
"MUSHROOMS, CHANTERELLE",,,,,,y,y,,,,,,
"MUSHROOMS, CHICKEN OF THE WOODS",,,,,,y,y,,,,,,
"MUSHROOMS, CREMINI (aka CRIMINI or ITALIAN BROWN MUSHROOMS)",,,,,,y,,,,,,,
"MUSHROOMS, MOREL",,,,,,y,,,,,,,
"MUSHROOMS, OYSTER",,,,,,y,,,,,,,
"MUSHROOMS, PORCINI (aka BOLETES or CÈPES; see also MUSHROOMS, WILD)",,,,,,y,y,,,,,,
"MUSHROOMS, PORTOBELLO",,,,,,y,,,,,,,
"MUSHROOMS, SHIITAKE—DRIED and FRESH",,,,,,y,,,,,,,
MUSTARD POWDER (aka DRY MUSTARD),,,,,,,,,,,,,
MUSTARD SEEDS,,,,,,,,,,,,,
"MUSTARD, e.g., DIJON (see also GREENS, MUSTARD; MUSTARD POWDER; MUSTARD SEEDS)",,,,,,,,,,,,,
NETTLES (aka STINGING NETTLES),,,,,,,,,,,,,
"NOODLES, RICE (aka RICE STICKS—or RICE VERMICELLI, which are thinner strands)",,,,,,,,,,,,,
NUTRITIONAL YEAST (aka affectionately as NOOCH),,,,,,,,,,,,,
"NUTS, BRAZIL",,,,,,,,,,,,,
"NUTS, MACADAMIA",,,,,,,,,,,,,
"OIL, CANOLA",,,,,,,,,,,,,
"OIL, COCONUT",,,,,,,,,,,,,
"OIL, FLAXSEED",,,,,,,,,,,,,
"OIL, OLIVE",,,,,,,,,,,,,
"OIL, PEANUT",,,,,,,,,,,,,
"OIL, SESAME",,,,,,,,,,,,,
"OIL, VEGETABLE",,,,,,,,,,,,,
"OLIVES, KALAMATA",,,,,,,,y,,,,,
"OLIVES, PICHOLINE",,,,,,,,y,,,,,
"ONIONS, PEARL",,,,,,,,,y,,,,
"ONIONS, RED (see also ONIONS)",,,,,,,,,y,,,,
"ONIONS, VIDALIA",,,,,,,,,y,,,,
"ORANGES, ORANGE JUICE, and ORANGE ZEST",,,,,,,,,,,,,
OREGANO,,,,,,,,,,,,,
"PAPAYA (i.e., RED)",,,,,,,,,,,,,
"PAPRIKA (see also PAPRIKA, SMOKED)",,,,,,,,,,,,,
"PAPRIKA, SMOKED (aka PIMENTON or PIMENTON DE LA VERA)",,,,,,,,,,,,,
"PARSLEY, generally ITALIAN (aka FLAT-LEAF PARSLEY)",,,,,,,,,,,,,
PARSNIPS,,,,,,,,,,,,,
PEANUTS and PEANUT BUTTER,,,,,,,,,,,,,
PEARS—IN GENERAL,,,,,,,,,,,,,
"PEAS, SPLIT",,,,,,,,,,y,,,
PECANS,,,,,,,,,,,,,
"PEPPER, BLACK",,,,,,,,,,,,,
"PEPPER, WHITE",,,,,,,,,,,,,
PEPPERMINT,,,,,,,,,,,,,
PINE NUTS (aka PIGNOLI),,,,,,,,,,,,,
PINEAPPLE,,,,,,,,,,,,,
PISTACHIOS,,,,,,,,,,,,,
"PLANTAINS, GREEN",,,,,,,,,,,,,
"PLANTAINS, SWEET (e.g., BROWN or YELLOW)",,,,,,,,,,,,,
POMEGRANATES and POMEGRANATE JUICE (see also POMEGRANATE MOLASSES),,,,,,,,,,,,,
"POTATOES, BLUE (or PURPLE)",,,,,,,,,,,y,,
"POTATOES, FINGERLING",,,,,,,,,,,y,,
"POTATOES, NEW (aka RED POTATOES)",,,,,,,,,,,y,,
"POTATOES, RUSSET",,,,,,,,,,,y,,
"POTATOES, THICK-SKINNED (e.g., IDAHO, RUSSET)",,,,,,,,,,,y,,
"POTATOES, THIN-SKINNED (e.g., NEW POTATOES, WHITE POTATOES)",,,,,,,,,,,y,,
"POTATOES, YELLOW (e.g., YUKON GOLD)",,,,,,,,,,,y,,
"PUMPKIN (see also SQUASH, WINTER)",,,,,,,,,,,,,
QUINOA,,,,,,,,,,,,,
RADISHES—IN GENERAL (see also DAIKON),,,,,,,,,,,,,
RAISINS,,,,,,,,,,,,,
"RICE, BASMATI, and BROWN BASMATI RICE",,,,,,,,,,,,y,
"RICE, BLACK (aka FORBIDDEN RICE)",,,,,,,,,,,,y,
"RICE, BROWN—IN GENERAL",,,,,,,,,,,,y,
"RICE, JASMINE (see also THAI CUISINE)",,,,,,,,,,,,y,
"RICE, WILD",,,,,,,,,,,,y,
ROSEMARY,,,,,,,,,,,,,
SAFFRON,,,,,,,,,,,,,
SAGE,,,,,,,,,,,,,
"SALT, BLACK",,,,,,,,,,,,,
"SALT, HIMALAYAN",,,,,,,,,,,,,
"SALT, KOSHER",,,,,,,,,,,,,
"SALT, SEA",,,,,,,,,,,,,
"SALT, SMOKED",,,,,,,,,,,,,
SAUERKRAUT,,,,,,,,,,,,,
SCALLIONS (aka GREEN ONIONS or SPRING ONIONS),,,,,,,,,,,,,
"SEEDS, PUMPKIN",,,,,,,,,,,,,
"SEEDS, SUNFLOWER",,,,,,,,,,,,,
SEITAN (see also tips for NAMA-FU),,,,,,,,,,,,,
SESAME SEEDS—IN GENERAL (aka GOMA),,,,,,,,,,,,,
SHALLOTS,,,,,,,,,,,,,
SNOW PEAS (aka CHINESE PEA PODS) (see also SUGAR SNAP PEAS),,,,,,,,,,y,,,
SORREL,,,,y,,,,,,,,,
SPINACH,,,,y,,,,,,,,,
"SQUASH, ACORN (see also SQUASH, WINTER)",,,,,,,,,,,,,
"SQUASH, BUTTERNUT (see also SQUASH, WINTER)",,,,,,,,,,,,,
"SQUASH, CROOKNECK (see also SQUASH, SUMMER)",,,,,,,,,,,,,
"SQUASH, YELLOW (see SQUASH, SUMMER)",,,,,,,,,,,,,
SRIRACHA (aka CHILI GARLIC SAUCE),,,,,,,,,,,,,
"STOCK, MUSHROOM",,,,,,,,,,,,,
"STOCK, VEGETABLE (see also DASHI)",,,,,,,,,,,,,
y,,,,,,,,,,,,,
SWEET POTATOES,,,,,,,,,,,,,
TAMARI,,,,,,,,,,,,,
TEMPEH,,,,,,,,,,,,,
THYME,,,,,,,,,,,,,
"TOFU, FIRM or EXTRA-FIRM",,,,,,,,,,,,,y
"TOFU, SCRAMBLED",,,,,,,,,,,,,y
"TOFU, SILKEN",,,,,,,,,,,,,y
"TOFU, SMOKED",,,,,,,,,,,,,y
"TOFU, SOFT",,,,,,,,,,,,,y
"TOFU, SUPER-FIRM",,,,,,,,,,,,,y
TOMATILLOS,,,,,,,,,,,,,
"TOMATOES, GREEN",,,,,,,,,,,,,
"TOMATOES, SUN-DRIED (or OVEN-DRIED TOMATOES)",,,,,,,,,,,,,
"TOMATOES, TOMATO JUICE, TOMATO PASTE, and TOMATO SAUCE",,,,,,,,,,,,,
"TRUFFLES, BLACK",,,,,,,,,,,,,
"TRUFFLES, WHITE",,,,,,,,,,,,,
"TURMERIC (see also CURRY POWDER, which contains turmeric)",,,,,,,,,,,,,
"TURNIPS (see also GREENS, TURNIP)",,,,,,,,,,,,,
"VINEGAR, APPLE CIDER (aka VINEGAR, CIDER)",,,,,,,,,,,,,
"VINEGAR, BALSAMIC",,,,,,,,,,,,,
"VINEGAR, RED WINE (see also VINEGAR, WINE–IN GENERAL)",,,,,,,,,,,,,
"VINEGAR, SHERRY",,,,,,,,,,,,,
WALNUTS,,,,,,,,,,,,,
YAMS,,,,,,,,,,,,,
"ZUCCHINI (see also SQUASH, SUMMER)",,,,,,,,,,,,,